Модель,PartNumber/Артикул Производителя,Ситилинк - Полное Наименование,Бренд,Группа товаров,Ссылка на сайт поставщика/вендора,Код Товара
X17 Pro Max,A10003400441,"Ноутбук игровой COLORFUL Evol X17 Pro Max A10003400441, 17.3"", IPS, Intel Core i9 13900HX 2.2ГГц, 24-ядерный, 32ГБ DDR5, 2ТБ SSD,  NVIDIA GeForce  RTX 4090 для ноутбуков - 16 ГБ, Windows 11 Home, серы",COLORFUL,Ноутбуки,https://3logic.ru/products/?I=128999,2006314
CMP NS483 (Исп.2),NS4831525116Q125E90NT2NNNN2,"Ноутбук AQUARIUS CMP NS483 (Исп.2) NS4831525116Q125E90NT2NNNN2, 14"", IPS, Intel Core i5 1155G7 2.5ГГц, 4-ядерный, 16ГБ 256ГБ SSD,  интегрированное, без операционной системы",AQUARIUS,Ноутбуки,https://www.aq.ru/product/aquarius-cmp-ns483-isp-2/,2008797
A3114,MRYM3JA/A,"Ноутбук Apple MacBook Air A3114 MRYM3JA/A, 15.3"", 2024, Retina, Apple M3 8 core 4ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air/specs/,2012781
A3114,MRYU3JA/A,"Ноутбук Apple MacBook Air A3114 MRYU3JA/A, 15.3"", 2024, Retina, Apple M3 8 core 4ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air/specs/,2012783
CMP NS685U R11,,"Ноутбук Aquarius CMP NS685U R11 i5 8250U/8Gb/SSD256Gb/15.6""/IPS/FHD/noOS/black/реестр МПТ",AQUARIUS,Ноутбуки,https://www.aq.ru/product/aquarius-cmp-ns685/,2013905
A2681,Z1600000B,"Ноутбук Apple MacBook Air A2681 Z1600000B, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,2016304
A2681,Z15S0000B,"Ноутбук Apple MacBook Air A2681 Z15S0000B, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,2016317
A2681,Z1600000L,"Ноутбук Apple MacBook Air A2681 Z1600000L, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,2016321
A2681,Z15S0000P,"Ноутбук Apple MacBook Air A2681 Z15S0000P, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,2016322
A3114,MRYM3PA/A,"Ноутбук Apple MacBook Air A3114 MRYM3PA/A, 15.3"", 2024, Retina, Apple M3 8 core 4ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air/specs/,2017673
A3114,MRYM3ZA/A,"Ноутбук Apple MacBook Air A3114 MRYM3ZA/A, 15.3"", 2024, Retina, Apple M3 8 core 4ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air/specs/,2017675
A3114,MRYU3PA/A,"Ноутбук Apple MacBook Air A3114 MRYU3PA/A, 15.3"", 2024, Retina, Apple M3 8 core 4ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air/specs/,2017680
A2681,Z15Y0000B,"Ноутбук Apple MacBook Air A2681 Z15Y0000B, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 256ГБ SSD,  Mac OS, сияющая звезда",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,2020810
R-N NINO 200.1/AMD-028,,"Ноутбук RIKOR R-N NINO 200.1/AMD-028 16"", AMD Ryzen 5 5600U 2.3ГГц, 6-ядерный, 8ГБ 256ГБ SSD,  без операционной системы, темно-серый",RIKOR,Ноутбуки,https://rikor.com/product/rikor-rn-nino-20116/#&gid=1&pid=1,2020952
Z7-DA7NS,Z7-DA7NS,"Ноутбук игровой HASEE Z7 Z7-DA7NS Z7-DA7NS, 15.6"", IPS, Intel Core i7 12650H 2.3ГГц, 10-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  RTX 3050 для ноутбуков - 4 ГБ, без операционной системы, черный",HASEE,Ноутбуки,https://haseecomputer.ru/,2021845
S8 D42654FH,S8 D42654FH,"Ноутбук игровой HASEE S8 S8 D42654FH S8 D42654FH, 15.6"", IPS, Intel Core i5 12450H 2ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  RTX 4060 для ноутбуков - 8 ГБ, без операционной системы, черн",HASEE,Ноутбуки,https://haseecomputer.ru/,2021846
S8 D63654FH,S8 D63654FH,"Ноутбук игровой HASEE S8 S8 D63654FH S8 D63654FH, 15.6"", IPS, Intel Core i7 13620H 2.4ГГц, 10-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  RTX 4060 для ноутбуков - 8 ГБ, без операционной системы, ч",HASEE,Ноутбуки,https://haseecomputer.ru/,2021847
Z8 B63614FH,Z8 B63614FH,"Ноутбук игровой HASEE Z8 Z8 B63614FH Z8 B63614FH, 15.6"", IPS, Intel Core i7 13620H 2.4ГГц, 10-ядерный, 16ГБ DDR4, 1ТБ SSD,  NVIDIA GeForce  RTX 4050 для ноутбуков - 4 ГБ, без операционной системы, чер",HASEE,Ноутбуки,https://haseecomputer.ru/,2021848
S8 C62654FH,S8 C62654FH,"Ноутбук игровой HASEE S8 S8 C62654FH S8 C62654FH, 15.6"", IPS, Intel Core i7 12650H 2.3ГГц, 10-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  RTX 4050 для ноутбуков - 6 ГБ, без операционной системы, ч",HASEE,Ноутбуки,https://haseecomputer.ru/,2021849
S8 D62654FH,S8 D62654FH,"Ноутбук игровой HASEE S8 S8 D62654FH S8 D62654FH, 15.6"", IPS, Intel Core i7 12650H 2.3ГГц, 10-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  RTX 4060 для ноутбуков - 8 ГБ, без операционной системы, ч",HASEE,Ноутбуки,https://haseecomputer.ru/,2021850
Z7D6 FHD,Z7D6 FHD,"Ноутбук игровой HASEE Z7 Z7D6 FHD Z7D6 FHD, 15.6"", IPS, Intel Core i7 12650H 2.3ГГц, 10-ядерный, 16ГБ DDR5, 512ГБ SSD,  NVIDIA GeForce  RTX 4050 для ноутбуков - 6 ГБ, без операционной системы, черный",HASEE,Ноутбуки,https://haseecomputer.ru/,2021851
Z8D6 FHD,Z8D6 FHD,"Ноутбук игровой HASEE Z8 Z8D6 FHD Z8D6 FHD, 15.6"", IPS, Intel Core i7 12650H 2.3ГГц, 10-ядерный, 16ГБ DDR5, 512ГБ SSD,  NVIDIA GeForce  RTX 4060 для ноутбуков - 8 ГБ, без операционной системы, черный",HASEE,Ноутбуки,https://haseecomputer.ru/,2021852
X2483HSU-B3,X2483HSU-B3,"Монитор IIYAMA ProLite X2483HSU-B3 24"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/ru_ru/produkty/prolite-x2483hsu-b3/,1001280
BL2780,9H.LGXLA.СBE,"Монитор BENQ BL2780 27"", черный [9h.lgxla.сbe]",BENQ,Мониторы ЖК,https://www.benq.com/ru-ru/monitor/business/bl2780/specifications.html,1021482
VC239HE-W,90LM01E2-B03470,"Монитор ASUS VC239HE-W 23"", белый [90lm01e2-b03470]",ASUS,Мониторы ЖК,https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VC239HE-W/techspec/,1029730
EW3270U 4K,9H.LGVLA.TSE,"Монитор BENQ EW3270U 4K 31.5"", черный [9h.lgvla.tse]",BENQ,Мониторы ЖК,https://www.benq.com/ru-ru/monitor/video-enjoyment/ew3270u/specifications.html,1048547
VA2719-2K-SMHD,VS16861,"Монитор VIEWSONIC VA2719-2K-SMHD 27"", черный [vs16861]",VIEWSONIC,Мониторы ЖК,https://shop.viewsonic.ru/product/VA2719-2K-SMHD.html,1059637
VX3276-MHD-2,VS17220,"Монитор VIEWSONIC VX3276-MHD-2 32"", черный [vs17220]",VIEWSONIC,Мониторы ЖК,https://shop.viewsonic.ru/product/VX3276-2K-mhd.html,1059710
328P6AUBREB (00/01),328P6AUBREB,"Монитор PHILIPS 328P6AUBREB (00/01) 31.5"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/328P6AUBREB_00/brilliance-lcd-monitor-with-usb-c-dock,1061221
VA249HE,90LM02W1-B02370,"Монитор ASUS VA249HE 23.8"", черный [90lm02w1-b02370]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA249HE/techspec/,1062778
22E1D(00/01),22E1D,"Монитор AOC 22E1D(00/01) 21.5"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/22e1d,1063090
22V2Q(00/01),22V2Q,"Монитор AOC Value Line 22V2Q(00/01) 21.5"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/22v2q/specification,1063108
24B1H(00/01),24B1H,"Монитор AOC Value Line 24B1H(00/01) 23.6"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/24b1h,1069638
24E1Q(00/01),24E1Q,"Монитор AOC Value Line 24E1Q(00/01) 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/24e1q/specification,1069663
24P1(00/01),24P1,"Монитор AOC Professional 24P1(00/01) 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/24p1/specification,1069671
22E1Q(00/01),22E1Q,"Монитор AOC 22E1Q(00/01) 21.5"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/22e1q/specification,1069703
X24P1(00/01),X24P1,"Монитор AOC Professional X24P1(00/01) 24"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/x24p1/specification,1069708
24V2Q(00/01),24V2Q,"Монитор AOC Value Line 24V2Q(00/01) 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/24v2q/specification,1070934
223V7QSB (10/62),223V7QSB/10,"Монитор PHILIPS 223V7QSB (10/62) 21.5"", черный [223v7qsb/10]",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/223V7QSB_62/full-hd-lcd-monitor,1079240
S34J550WQI,LS34J550WQIXCI,"Монитор SAMSUNG S34J550WQI 34"", черный [ls34j550wqixci]",SAMSUNG,Мониторы ЖК,https://www.samsung.com/ru/monitors/ultra-wide/ultra-wqhd-monitor-with-21-9-wide-screen-34-inch-ls34j550wqixci/,1102030
223V7QDSB (00/01),223V7QDSB,"Монитор PHILIPS 223V7QDSB (00/01) 21.5"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/223V7QDSB_00/full-hd-lcd-monitor,1102559
32UL950-W,32UL950-W.ARUZ,"Монитор LG UltraFine 32UL950-W 31.5"", белый и серебристый [32ul950-w.aruz]",LG,Мониторы ЖК,https://www.lg.com/ru/monitors/lg-32UL950-W,1116084
GW2283,9H.LHLLA.TBE,"Монитор BENQ GW2283 21.5"", черный [9h.lhlla.tbe]",BENQ,Мониторы ЖК,https://www.benq.com/ru-ru/monitor/home-office/gw2283/specifications.html,1119209
VP247HAE,90LM01L0-B05170,"Монитор ASUS VP247HAE 23.6"", черный [90lm01l0-b05170]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP247HAE/techspec/,1126900
SA240YAbi,UM.QS0EE.A01,"Монитор ACER SA240YAbi 23.8"", черный [um.qs0ee.a01]",ACER,Мониторы ЖК,https://www.acer.com/ac/en/GB/content/model/UM.QS0EE.A01,1129024
BL2283,9H.LHSLA.TBE,"Монитор BENQ BL2283 21.5"", черный [9h.lhsla.tbe]",BENQ,Мониторы ЖК,https://www.benq.com/ru-ru/monitor/business/bl2283/specifications.html,1129299
T2454MSC-B1AG,T2454MSC-B1AG,"Монитор IIYAMA ProLite T2454MSC-B1AG 23.8"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/ru_ru/produkty/prolite-t2454msc-b1ag/,1137536
27MK430H-B,27MK430H-B.ARUZ,"Монитор LG 27MK430H-B 27"", черный [27mk430h-b.aruz]",LG,Мониторы ЖК,https://www.lg.com/ru/monitors/lg-27MK430H-B,1155275
U2790PQU(00/01),U2790PQU,"Монитор AOC Professional U2790PQU(00/01) 27"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/u2790pqu/specification,1170441
222B9T,222B9T/00,"Монитор PHILIPS 222B9T 21.5"", черный [222b9t/00]",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/222B9T_00/monitor-lcd-monitor-with-smoothtouch,1175817
VZ239HE-W,90LM0332-B01670,"Монитор ASUS VZ239HE-W 23"", белый [90lm0332-b01670]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VZ239HE-W/techspec/,1197828
S24F354FHI,LS24F354FHIXCI,"Монитор SAMSUNG S24F354FHI 23.5"", черный [ls24f354fhixci]",SAMSUNG,Мониторы ЖК,https://www.samsung.com/ru/monitors/flat/fhd-monitor-with-super-slim-design-and-game-mode-24-inch-ls24f354fhixci/,1200387
278E1A,278E1A(00/01),"Монитор Philips 278E1A 27"", черный [278e1a(00/01)]",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/278E1A_00/4k-ultra-hd-lcd-monitor,1210172
VP228HE,90LM01K0-B05170,"Монитор ASUS VP228HE 21.5"", черный [90lm01k0-b05170]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP228HE/,1210557
U28R550UQI,LU28R550UQIXCI,"Монитор SAMSUNG U28R550UQI 28"", темно-серый [lu28r550uqixci]",SAMSUNG,Мониторы ЖК,https://www.samsung.com/ru/monitors/high-resolution/uhd-monitor-28-inch-lu28r550uqixci/#specs,1212641
241E1SCA(00/01),241E1SCA,"Монитор Philips 241E1SCA(00/01) 23.6"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/241E1SCA_00/monitor-full-hd-curved-lcd-monitor,1214914
345B1C/00,345B1C/00,"Монитор PHILIPS 345B1C/00 34"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/345B1C_00/curved-ultrawide-lcd-display,1214916
L27q-30,65FCGAC1EU,"Монитор LENOVO L27q-30 27"", черный [65fcgac1eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/ng/en/monitors/l27q-30#,1358144
L24q-30,65FBGAC1EU,"Монитор LENOVO L24q-30 23.8"", черный [65fbgac1eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/us/en/p/accessories-and-software/monitors/home/65fbgcc1us?orgRef=https%253A%252F%252Fyandex.ru%252F,1358359
271E1SCA,271E1SCA,"Монитор Philips 271E1SCA 27"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/271E1SCA_00/full-hd-curved-lcd-monitor,1361799
276C8 (00/01),276C8,"Монитор PHILIPS 276C8 (00/01) 27"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/276C8_00/moda-lcd-monitor-with-usb-c,1361815
322E1C (00/01),322E1C,"Монитор PHILIPS 322E1C (00/01) 31.5"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/322E1C_00/full-hd-curved-lcd-display,1361818
VG289Q,90LM05B0-B01170,"Монитор ASUS TUF Gaming VG289Q 28"", черный [90lm05b0-b01170]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG289Q/techspec/,1363554
VT229H,90LM0490-B01170,"Монитор ASUS VT229H 21.5"", черный [90lm0490-b01170]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Touch/VT229H/techspec/,1363561
EW2780Q,9H.LJCLA.TBE,"Монитор BENQ EW2780Q 27"", черный [9h.ljcla.tbe]",BENQ,Мониторы ЖК,https://www.benq.com/ru-ru/monitor/video-enjoyment/ew2780q/specifications.html,1364910
T27p-10,61DAMAT1EU,"Монитор LENOVO ThinkVision T27p-10 27"", черный [61damat1eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/ru/ru/monitors/t27p-10/#,1366787
27B2H,27B2H,"Монитор AOC Value Line 27B2H 27"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitors/27b2h-eu/specification,1367499
MB16AMT,90LM04S0-B01170,"Монитор ASUS Portable MB16AMT 15.6"", черный [90lm04s0-b01170]",ASUS,Мониторы ЖК,https://www.asus.com/ru/Displays-Desktops/Monitors/ZenScreen/ZenScreen-Touch-MB16AMT/techspec/,1374136
S28u-10,61E6GAT2EU,"Монитор LENOVO ThinkVision S28u-10 28"", черный [61e6gat2eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/ru/ru/monitors/s28u-10#,1378668
221S8LDAB(00/01),221S8LDAB(00/01),"Монитор PHILIPS 221S8LDAB(00/01) 21.5"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/221S8LDAB_00/lcd-monitor,1391015
252B9 (00/01),252B9 (00/01),"Монитор PHILIPS 252B9 (00/01) 25"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/252B9_00/lcd-monitor-with-powersensor,1391017
325E1C(00/01),325E1C(00/01),"Монитор PHILIPS 325E1C(00/01) 31.5"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/325E1C_00/curved-lcd-monitor-with-ultra-wide-color,1391026
34WN650,34WN650-W.ARUZ,"Монитор LG UltraWide 34WN650 34"", белый [34wn650-w.aruz]",LG,Мониторы ЖК,https://www.lg.com/ru/monitors/lg-34wn650-w,1391999
VA24DQLB,90LM0541-B01370,"Монитор ASUS VA24DQLB 23.8"", черный [90lm0541-b01370]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA24DQLB/techspec/,1392056
PA248QV,90LM05K1-B01370,"Монитор ASUS ProArt PA248QV 24.1"", черный [90lm05k1-b01370]",ASUS,Мониторы ЖК,https://www.asus.com/ru/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA248QV/techspec/,1397112
RG241YPbiipx,UM.QR1EE.P01,"Монитор Acer Nitro RG241YPbiipx 23.8"", черный [um.qr1ee.p01]",ACER,Мониторы ЖК,https://ru-store.acer.com/product/UM.QR1EE.P01/,1406970
XV270Ubmiiprx,UM.HX0EE.018,"Монитор ACER Nitro XV270Ubmiiprx 27"", черный [um.hx0ee.018]",ACER,Мониторы ЖК,https://www.acer.com/ac/en/GB/content/model/UM.HX0EE.018,1406972
S2721HN,2721-9374,"Монитор DELL S2721HN 27"", черный и серебристый [2721-9374]",DELL,Мониторы ЖК,https://www.dell.com/ru/p/dell-s2721hn-monitor/pd?ref=PD_Family,1410154
TIO24Gen4,11GDPAR1EU,"Монитор Lenovo ThinkVision TIO24Gen4 23.8"", черный [11gdpar1eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/hk/en/accessories-and-monitors/monitors/tiny-in-one/TIO24-Gen4A20TIO2423-8inch-Monitor/p/11GDPAR1WW,1411886
VA24DQ,90LM054S-B01370,"Монитор ASUS VA24DQ 23.8"", темно-серый и черный [90lm054s-b01370]",ASUS,Мониторы ЖК,https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VA24DQ/techspec/,1416428
VA27DQSB,90LM06H1-B01370,"Монитор ASUS Gaming VA27DQSB 27"", черный [90lm06h1-b01370]",ASUS,Мониторы ЖК,https://www.asus.com/Monitors/VA27DQSB/,1416484
498P9,498P9/00,"Монитор PHILIPS 498P9 49"", черный [498p9/00]",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/498P9_00/brilliance-329-superwide-curved-lcd-display,1417205
V20,1H850AA,"Монитор HP V20 19.5"", черный [1h850aa]",HP,Мониторы ЖК,https://www8.hp.com/ru/ru/monitors/product-details/34688136,1418851
C24G2AE,C24G2AE,"Монитор AOC Gaming C24G2AE 23.6"", черный/красный и черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c24g2ae-bk,1418913
C27G2ZE,C27G2ZE,"Монитор AOC Gaming C27G2ZE 27"", черный/красный и черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c27g2ze-bk,1418917
C27G2ZU,C27G2ZU,"Монитор AOC Gaming C27G2ZU 27"", черный/красный и черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c27g2zu-bk,1418926
C24G2U,C24G2U,"Монитор AOC Gaming C24G2U 23.6"", черный/красный и черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/gaming-monitors/c24g2u-bk,1420614
GB3266QSU-B1,GB3266QSU-B1,"Монитор IIYAMA Red Eagle GB3266QSU-B1 31.5"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/ru_ru/produkty/g-master-gb3266qsu-b1/,1421301
XUB2792HSU-W1,XUB2792HSU-W1,"Монитор IIYAMA ProLite XUB2792HSU-W1 27"", белый",IIYAMA,Мониторы ЖК,https://iiyama.com/ru_ru/produkty/prolite-xub2792hsu-w1/,1422189
27P2Q,27P2Q,"Монитор AOC Professional 27P2Q 27"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/monitors/27p2q,1424058
242S1AE (00/01),242S1AE (00/01),"Монитор PHILIPS 242S1AE (00/01) 23.8"", черный",PHILIPS,Мониторы ЖК,https://www.philips.ru/c-p/242S1AE_00/lcd-monitor,1424526
TIO24Gen4,11GDPAT1EU,"Монитор LENOVO ThinkVision TIO24Gen4 23.8"", черный [11gdpat1eu]",LENOVO,Мониторы ЖК,https://www.lenovo.com/my/en/accessories-and-monitors/monitors/tiny-in-one/TIO24-Gen4A20TIO2423-8inch-Monitor/p/11GDPAR1WW,1425226
LF24T350FHIXCI,LF24T350FHIXCI,"Монитор SAMSUNG LF24T350FHIXCI 23.8"", черный",SAMSUNG,Мониторы ЖК,https://www.samsung.com/ru/monitors/flat/led-monitor-with-borderless-design-24-inch-lf24t350fhixci/,1426709
U2421E,2421-9503,"Монитор DELL UltraSharp U2421E 24.1"", серебристый [2421-9503]",DELL,Мониторы ЖК,https://www.dell.com/en-us/shop/dell-ultrasharp-usb-c-hub-monitor-u2421e/apd/210-axmg/monitors-monitor-accessories,1428341
27E2QAE,27E2QAE,"Монитор AOC Value Line 27E2QAE 27"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/monitors/27e2qae,1430019
C27G2AE,C27G2AE,"Монитор AOC Gaming C27G2AE 27"", черный/красный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c27g2ae-bk,1430032
VG27AQL1A,90LM05Z0-B01370,"Монитор ASUS TUF Gaming VG27AQL1A 27"", черный [90lm05z0-b01370]",ASUS,Мониторы ЖК,https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/TUF-Gaming-VG27AQL1A,1430673
XL2546K,9H.LJNLB.QBE,"Монитор BenQ Zowie XL2546K 24.5"", темно-серый и черный [9h.ljnlb.qbe]",BENQ,Мониторы ЖК,https://zowie.benq.com/en-ap/product/monitor/xl-k/xl2546k.html,1432381
XL2411K,9H.LJPLB.QBE,"Монитор BenQ Zowie XL2411K 24"", серый и черный [9h.ljplb.qbe]",BENQ,Мониторы ЖК,https://zowie.benq.com/en-ap/product/monitor/xl-k/xl2411k.html#features,1432382
C27G2U/BK,C27G2U,"Монитор AOC Gaming C27G2U/BK 27"", черный/красный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c27g2u-bk,1433135
C32G2ZE/BK,C32G2ZE,"Монитор AOC Gaming C32G2ZE/BK 31.5"", черный/красный и черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/c32g2ze-bk,1433142
XUB2492HSN-B1,XUB2492HSN-B1,"Монитор IIYAMA ProLite XUB2492HSN-B1 23.8"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/ru_ru/produkty/prolite-xub2492hsn-b1/,1440975
RX241Ypbmiiphx,UM.QR1EE.P05,"Монитор Acer Nitro RX241Ypbmiiphx 23.6"", черный [um.qr1ee.p05]",ACER,Мониторы ЖК,https://www.acer.com/ru-ru/monitors/gaming/nitro-rx1/pdp/UM.QR1EE.P05,1441544
22B2D,22B2D,"Монитор AOC Value Line 22B2D 21.5"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/ru/products/monitor/22b2d/specification,1443362
22B2AM/01,22B2AM,"Монитор AOC Value Line 22B2AM/01 21.5"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/de/monitors/22b2am,1443364
24B2XDM/01,24B2XDM,"Монитор AOC Value Line 24B2XDM/01 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/monitors/24b2xdm,1443371
24B2XHM2/01,24B2XHM2,"Монитор AOC Value Line 24B2XHM2/01 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/monitors/24b2xhm2,1443387
24B2XDA/01,24B2XDA,"Монитор AOC Value Line 24B2XDA/01 23.8"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/monitors/24b2xda,1443389
27B2AM,27B2AM,"Монитор AOC Value Line 27B2AM 27"", черный",AOC,Мониторы ЖК,https://eu.aoc.com/en/products/monitor/27b2am/specification,1443394
G2490VXA,G2490VXA,"Монитор AOC Gaming G2490VXA 23.8"", черный/красный",AOC,Мониторы ЖК,https://eu.aoc.com/en/gaming-monitors/g2490vxa,1443445
C27G54TQWI,LC27G54TQWIXCI,"Монитор Samsung C27G54TQWI 27"", черный [lc27g54tqwixci]",SAMSUNG,Мониторы ЖК,https://www.samsung.com/ru/monitors/gaming/wqhd-gaming-monitor-with-1000r-curved-screen-27-inch-lc27g54tqwixci/#specs,1444512
XUB2496HSU-B1,XUB2496HSU-B1,"Монитор IIYAMA ProLite XUB2496HSU-B1 23.8"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/by_ru/produkty/prolite-xub2496hsu-b1/,1444999
G2770HSU-B1,G2770HSU-B1,"Монитор Iiyama Red Eagle G2770HSU-B1 27"", черный",IIYAMA,Мониторы ЖК,https://iiyama.com/by_ru/produkty/g-master-g2770hsu-b1/,1445018
VG279QL1A,90LM05X0-B02170,"Монитор ASUS TUF Gaming VG279QL1A 27"", черный [90lm05x0-b02170]",ASUS,Мониторы ЖК,https://www.asus.com/us/Monitors/TUF-GAMING-VG279QL1A/,1445538
P24 G4,1A7E5AA,"Монитор HP P24 G4 23.8"", черный [1a7e5aa]",HP,Мониторы ЖК,https://www.tfk.ru/products/monitors/pro-series/1a7e5aa-abb.html,1450543
AW2521HFA,2521-5328,"Монитор ALIENWARE AW2521HFA 24.5"", черный [2521-5328]",ALIENWARE,Мониторы ЖК,https://www.dell.com/rs/p/dell-aw2521hfa-monitor/pd?ref=PD_Family,1454222
AW2521H,2521-9541,"Монитор ALIENWARE AW2521H 24.5"", черный [2521-9541]",ALIENWARE,Мониторы ЖК,https://www.dell.com/en-us/shop/alienware-25-gaming-monitor-aw2521h/apd/210-aycb/monitors-monitor-accessories,1454229
