Модель,PartNumber/Артикул Производителя,Ситилинк - Полное Наименование,Бренд,Группа товаров,Ссылка на сайт поставщика/вендора,Код Товара
ME-1554.2,ME-1554,"Ноутбук RIKOR ME-1554.2 ME-1554, 15.6"", IPS, AMD Ryzen 3 5425U 2.7ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  Vega 6, без операционной системы, черный",RIKOR,Ноутбуки,https://server.rikor.com/katalog/noutbuki2/,1893019
14ADA05,81W000VKRU,"Ноутбук Lenovo IdeaPad 3 14ADA05 81W000VKRU, 14"", TN, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  AMD Radeon  Vega 8, Windows 11 Home, синий",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_14ADA05?M=81W000VKRU,1893704
P15 G2,20YQ001HRT,"Ноутбук Lenovo ThinkPad P15 G2 20YQ001HRT, 15.6"", IPS, Intel Core i7 11800H 2.3ГГц, 8-ядерный, 32ГБ DDR4, 1ТБ SSD,  NVIDIA  RTX A2000 MAX-P - 4 ГБ, Windows 10 Professional, черный",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/ThinkPad/ThinkPad_P15_Gen_2?M=20YQ001HRT,1895522
XE5,XE5-73RU543UH,"Ноутбук игровой GIGABYTE Aorus 15 XE5 XE5-73RU543UH, 15.6"", IPS, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 512ГБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Home, черн",GIGABYTE,Ноутбуки,"https://3logic.ru/catalog/noutbuki/gigabyte/noutbuk-gigabyte-aorus-15-xe5-nb-rx5pxe5-ru-fhd-i7-12700h-xe5-73ru543uh-109591/_x000D_
",1898787
L13 Gen 3,21BAS16N00,"Ноутбук Lenovo ThinkPad L13 Gen 3 21BAS16N00, 13.3"", IPS, AMD Ryzen 5 Pro 5675U 2.3ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110898,1903363
L13 Gen 3,21BAS16P00,"Ноутбук Lenovo ThinkPad L13 Gen 3 21BAS16P00, 13.3"", IPS, AMD Ryzen 5 Pro 5675U 2.3ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110897,1903364
T14 G2,20W1SG6P00,"Ноутбук Lenovo ThinkPad T14 G2 20W1SG6P00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110903,1903375
T14 Gen 2,20W1SG6R00,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6R00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110904,1903377
T14 Gen 2,20W1SG6S00,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6S00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  MX450 - 2 ГБ, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110908,1903378
T14 Gen 2,20W1SG6T00,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6T00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=110906,1903379
